"ano";"Cód.";"Município";"Dendê..cacho.de.coco.";"Girassol..em.grão.";"Mamona..baga.";"Soja..em.grão."
2003;"1704600";"CHAPADA DE AREIA (TO)";0;0;0;0
2003;"1705102";"CHAPADA DA NATIVIDADE (TO)";0;0;0;1477
2003;"1705508";"COLINAS DO TOCANTINS (TO)";0;0;0;0
2003;"1705557";"COMBINADO (TO)";0;0;0;0
2003;"1705607";"CONCEICAO DO TOCANTINS (TO)";0;0;0;0
2003;"1706001";"COUTO MAGALHAES (TO)";0;0;0;0
2003;"1706100";"CRISTALANDIA (TO)";0;0;0;0
2003;"1706258";"CRIXAS DO TOCANTINS (TO)";0;0;0;2126
2003;"1706506";"DARCINOPOLIS (TO)";0;0;0;40
2003;"1707009";"DIANOPOLIS (TO)";0;0;0;6312
2003;"1707108";"DIVINOPOLIS DO TOCANTINS (TO)";0;0;0;0
2003;"1707207";"DOIS IRMAOS DO TOCANTINS (TO)";0;0;0;0
2003;"1707306";"DUERE (TO)";0;0;0;4858
2003;"1707405";"ESPERANTINA (TO)";0;0;0;0
2003;"1707553";"FATIMA (TO)";0;0;0;0
2003;"1707652";"FIGUEIROPOLIS (TO)";0;0;0;4455
2003;"1707702";"FILADELFIA (TO)";0;0;0;0
2003;"1708205";"FORMOSO DO ARAGUAIA (TO)";0;0;0;24915
2003;"1708254";"FORTALEZA DO TABOCAO (TO)";0;0;0;793
2003;"1708304";"GOIANORTE (TO)";0;0;0;0
2003;"1709005";"GOIATINS (TO)";0;0;0;0
2003;"1709302";"GUARAI (TO)";0;0;0;1056
2003;"1709500";"GURUPI (TO)";0;0;0;0
2003;"1709807";"IPUEIRAS (TO)";0;0;0;0
2003;"1710508";"ITACAJA (TO)";0;0;0;248
2003;"1710706";"ITAGUATINS (TO)";0;0;0;0
2003;"1710904";"ITAPIRATINS (TO)";0;0;0;0
2003;"1711100";"ITAPORA DO TOCANTINS (TO)";0;0;0;0
2003;"1711506";"JAU DO TOCANTINS (TO)";0;0;0;0
2003;"1711803";"JUARINA (TO)";0;0;0;0
2003;"1711902";"LAGOA DA CONFUSAO (TO)";0;0;0;7963
2003;"1711951";"LAGOA DO TOCANTINS (TO)";0;0;0;0
2003;"1712009";"LAJEADO (TO)";0;0;0;0
2003;"1712157";"LAVANDEIRA (TO)";0;0;0;0
2003;"1712405";"LIZARDA (TO)";0;0;0;0
2003;"1712454";"LUZINOPOLIS (TO)";0;0;0;0
2003;"1712504";"MARIANOPOLIS DO TOCANTINS (TO)";0;0;0;0
2003;"1712702";"MATEIROS (TO)";0;0;0;18473
2003;"1712801";"MAURILANDIA DO TOCANTINS (TO)";0;0;0;0
2003;"1713205";"MIRACEMA DO TOCANTINS (TO)";0;0;0;0
2003;"1713304";"MIRANORTE (TO)";0;0;0;0
2003;"1713601";"MONTE DO CARMO (TO)";0;0;0;403
2003;"1713700";"MONTE SANTO DO TOCANTINS (TO)";0;0;0;0
2003;"1713809";"PALMEIRAS DO TOCANTINS (TO)";0;0;0;0
2003;"1713957";"MURICILANDIA (TO)";0;0;0;0
2003;"1714203";"NATIVIDADE (TO)";0;0;0;423
2003;"1714302";"NAZARE (TO)";0;0;0;0
2003;"1714880";"NOVA OLINDA (TO)";0;0;0;0
2003;"1715002";"NOVA ROSALANDIA (TO)";0;0;0;0
2003;"1715101";"NOVO ACORDO (TO)";0;0;0;0
2003;"1715150";"NOVO ALEGRE (TO)";0;0;0;0
2003;"1715259";"NOVO JARDIM (TO)";0;0;0;1175
2003;"1715507";"OLIVEIRA DE FATIMA (TO)";0;0;0;0
2003;"1715705";"PALMEIRANTE (TO)";0;0;0;0
2003;"1715754";"PALMEIROPOLIS (TO)";0;0;0;0
2003;"1716109";"PARAISO DO TOCANTINS (TO)";0;0;0;0
2003;"1716208";"PARANA (TO)";0;0;0;0
2003;"1716307";"PAU D ARCO (TO)";0;0;0;0
2003;"1716505";"PEDRO AFONSO (TO)";0;0;0;46848
2003;"1716604";"PEIXE (TO)";0;0;0;1914
2003;"1716653";"PEQUIZEIRO (TO)";0;0;0;246
2003;"1716703";"COLMEIA (TO)";0;0;0;0
2003;"1717008";"PINDORAMA DO TOCANTINS (TO)";0;0;0;0
2003;"1717206";"PIRAQUE (TO)";0;0;0;0
2003;"1717503";"PIUM (TO)";0;0;0;0
2003;"1717800";"PONTE ALTA DO BOM JESUS (TO)";0;0;0;0
2003;"1717909";"PONTE ALTA DO TOCANTINS (TO)";0;0;0;0
2003;"1718006";"PORTO ALEGRE DO TOCANTINS (TO)";0;0;0;0
2003;"1718204";"PORTO NACIONAL (TO)";0;0;0;5193
2003;"1718303";"PRAIA NORTE (TO)";0;0;0;0
2003;"1718402";"PRESIDENTE KENNEDY (TO)";0;0;0;564
2003;"1718451";"PUGMIL (TO)";0;0;0;0
2003;"1718501";"RECURSOLANDIA (TO)";0;0;0;0
2003;"1718550";"RIACHINHO (TO)";0;0;0;0
2003;"1718659";"RIO DA CONCEICAO (TO)";0;0;0;1750
2003;"1718709";"RIO DOS BOIS (TO)";0;0;0;0
2003;"1718758";"RIO SONO (TO)";0;0;0;0
2003;"1718808";"SAMPAIO (TO)";0;0;0;0
2003;"1718840";"SANDOLANDIA (TO)";0;0;0;0
2003;"1718865";"SANTA FE DO ARAGUAIA (TO)";0;0;0;0
2003;"1718881";"SANTA MARIA DO TOCANTINS (TO)";0;0;0;0
2003;"1718899";"SANTA RITA DO TOCANTINS (TO)";0;0;0;238
2003;"1718907";"SANTA ROSA DO TOCANTINS (TO)";0;0;0;5832
2003;"1719004";"SANTA TEREZA DO TOCANTINS (TO)";0;0;0;0
2003;"1720002";"SANTA TEREZINHA DO TOCANTINS (TO)";0;0;0;0
2003;"1720101";"SAO BENTO DO TOCANTINS (TO)";0;0;0;0
