"ano";"Cód.";"Município";"Dendê..cacho.de.coco.";"Girassol..em.grão.";"Mamona..baga.";"Soja..em.grão."
2006;"1600154";"PEDRA BRANCA DO AMAPARI (AP)";0;0;0;0
2006;"1600204";"CALCOENE (AP)";0;0;0;0
2006;"1600212";"CUTIAS (AP)";0;0;0;0
2006;"1600238";"FERREIRA GOMES (AP)";0;0;0;0
2006;"1600253";"ITAUBAL (AP)";0;0;0;0
2006;"1600279";"LARANJAL DO JARI (AP)";0;0;0;0
2006;"1600303";"MACAPA (AP)";0;0;0;0
2006;"1600402";"MAZAGAO (AP)";0;0;0;0
2006;"1600501";"OIAPOQUE (AP)";0;0;0;0
2006;"1600535";"PORTO GRANDE (AP)";0;0;0;0
2006;"1600550";"PRACUUBA (AP)";0;0;0;0
2006;"1600600";"SANTANA (AP)";0;0;0;0
2006;"1600709";"TARTARUGALZINHO (AP)";0;0;0;0
2006;"1600808";"VITORIA DO JARI (AP)";0;0;0;0
2006;"1700251";"ABREULANDIA (TO)";0;0;0;0
2006;"1700301";"AGUIARNOPOLIS (TO)";0;0;0;0
2006;"1700350";"ALIANCA DO TOCANTINS (TO)";0;0;0;0
2006;"1700400";"ALMAS (TO)";0;0;0;1760
2006;"1700707";"ALVORADA (TO)";0;0;0;9600
2006;"1701002";"ANANAS (TO)";0;0;0;0
2006;"1701051";"ANGICO (TO)";0;0;0;0
2006;"1701101";"APARECIDA DO RIO NEGRO (TO)";0;0;0;8400
2006;"1701309";"ARAGOMINAS (TO)";0;0;0;0
2006;"1701903";"ARAGUACEMA (TO)";0;0;0;912
2006;"1702000";"ARAGUACU (TO)";0;0;0;3740
2006;"1702109";"ARAGUAINA (TO)";0;0;0;0
2006;"1702158";"ARAGUANA (TO)";0;0;0;0
2006;"1702208";"ARAGUATINS (TO)";0;0;0;0
2006;"1702307";"ARAPOEMA (TO)";0;0;0;2000
2006;"1702406";"ARRAIAS (TO)";0;0;0;0
2006;"1702554";"AUGUSTINOPOLIS (TO)";0;0;0;0
2006;"1702703";"AURORA DO TOCANTINS (TO)";0;0;0;0
2006;"1702901";"AXIXA DO TOCANTINS (TO)";0;0;0;0
2006;"1703008";"BABACULANDIA (TO)";0;0;0;0
2006;"1703057";"BANDEIRANTES DO TOCANTINS (TO)";0;0;0;750
2006;"1703073";"BARRA DO OURO (TO)";0;0;0;4048
2006;"1703107";"BARROLANDIA (TO)";0;0;0;1872
2006;"1703206";"BERNARDO SAYAO (TO)";0;0;0;0
2006;"1703305";"BOM JESUS DO TOCANTINS (TO)";0;0;0;12240
2006;"1703602";"BRASILANDIA DO TOCANTINS (TO)";0;0;0;14000
2006;"1703701";"BREJINHO DE NAZARE (TO)";0;0;0;12000
2006;"1703800";"BURITI DO TOCANTINS (TO)";0;0;0;0
2006;"1703826";"CACHOEIRINHA (TO)";0;0;0;0
2006;"1703842";"CAMPOS LINDOS (TO)";0;0;0;90720
2006;"1703867";"CARIRI DO TOCANTINS (TO)";0;0;0;2200
2006;"1703883";"CARMOLANDIA (TO)";0;0;0;0
2006;"1703891";"CARRASCO BONITO (TO)";0;0;0;0
2006;"1703909";"CASEARA (TO)";0;0;0;0
2006;"1704105";"CENTENARIO (TO)";0;0;0;6250
2006;"1704600";"CHAPADA DE AREIA (TO)";0;0;0;0
2006;"1705102";"CHAPADA DA NATIVIDADE (TO)";0;0;0;9600
2006;"1705508";"COLINAS DO TOCANTINS (TO)";0;0;0;650
2006;"1705557";"COMBINADO (TO)";0;0;0;0
2006;"1705607";"CONCEICAO DO TOCANTINS (TO)";0;0;0;0
2006;"1706001";"COUTO MAGALHAES (TO)";0;0;0;1750
2006;"1706100";"CRISTALANDIA (TO)";0;0;0;0
2006;"1706258";"CRIXAS DO TOCANTINS (TO)";0;0;0;5760
2006;"1706506";"DARCINOPOLIS (TO)";0;0;0;8925
2006;"1707009";"DIANOPOLIS (TO)";0;0;0;31200
2006;"1707108";"DIVINOPOLIS DO TOCANTINS (TO)";0;0;0;0
2006;"1707207";"DOIS IRMAOS DO TOCANTINS (TO)";0;0;0;0
2006;"1707306";"DUERE (TO)";0;0;75;4482
2006;"1707405";"ESPERANTINA (TO)";0;0;0;0
2006;"1707553";"FATIMA (TO)";0;0;0;0
2006;"1707652";"FIGUEIROPOLIS (TO)";0;0;0;9275
2006;"1707702";"FILADELFIA (TO)";0;0;0;0
2006;"1708205";"FORMOSO DO ARAGUAIA (TO)";0;0;0;22000
2006;"1708254";"FORTALEZA DO TABOCAO (TO)";0;0;0;6480
2006;"1708304";"GOIANORTE (TO)";0;0;0;0
2006;"1709005";"GOIATINS (TO)";0;0;0;7744
2006;"1709302";"GUARAI (TO)";0;0;0;24700
2006;"1709500";"GURUPI (TO)";0;0;0;9424
2006;"1709807";"IPUEIRAS (TO)";0;0;0;3876
2006;"1710508";"ITACAJA (TO)";0;0;0;7500
2006;"1710706";"ITAGUATINS (TO)";0;0;0;0
2006;"1710904";"ITAPIRATINS (TO)";0;0;0;11475
2006;"1711100";"ITAPORA DO TOCANTINS (TO)";0;0;0;0
2006;"1711506";"JAU DO TOCANTINS (TO)";0;0;0;278
2006;"1711803";"JUARINA (TO)";0;0;0;0
